"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","95% Confidence Interval","Confidence Interval Low","Confidence Interval High",
"17","Illinois","17119","Madison","2023","7.2%","","(6.0% - 8.7%)","6.0%","8.7%",
"17","Illinois","17121","Marion","2023","9.5%","","(7.9% - 11.3%)","7.9%","11.3%",
"17","Illinois","17123","Marshall","2023","8.9%","","(7.3% - 10.7%)","7.3%","10.7%",
"17","Illinois","17125","Mason","2023","9.4%","","(7.7% - 11.3%)","7.7%","11.3%",
"17","Illinois","17127","Massac","2023","9.7%","","(8.1% - 11.5%)","8.1%","11.5%",
"17","Illinois","17109","McDonough","2023","7.9%","","(6.5% - 9.4%)","6.5%","9.4%",
"17","Illinois","17111","McHenry","2023","5.9%","","(4.8% - 7.2%)","4.8%","7.2%",
"17","Illinois","17113","McLean","2023","5.6%","","(4.6% - 6.7%)","4.6%","6.7%",
"17","Illinois","17129","Menard","2023","7.9%","","(6.5% - 9.6%)","6.5%","9.6%",
"17","Illinois","17131","Mercer","2023","8.6%","","(7.0% - 10.3%)","7.0%","10.3%",
"17","Illinois","17133","Monroe","2023","6.2%","","(5.0% - 7.5%)","5.0%","7.5%",
"17","Illinois","17135","Montgomery","2023","8.9%","","(7.3% - 10.6%)","7.3%","10.6%",
"17","Illinois","17137","Morgan","2023","8.8%","","(7.2% - 10.7%)","7.2%","10.7%",
"17","Illinois","17139","Moultrie","2023","8.6%","","(7.0% - 10.3%)","7.0%","10.3%",
"17","Illinois","17141","Ogle","2023","7.8%","","(6.4% - 9.4%)","6.4%","9.4%",
"17","Illinois","17143","Peoria","2023","7.5%","","(6.2% - 8.9%)","6.2%","8.9%",
"17","Illinois","17145","Perry","2023","9.5%","","(8.1% - 11.0%)","8.1%","11.0%",
"17","Illinois","17147","Piatt","2023","6.9%","","(5.6% - 8.4%)","5.6%","8.4%",
"17","Illinois","17149","Pike","2023","9.7%","","(8.0% - 11.6%)","8.0%","11.6%",
"17","Illinois","17151","Pope","2023","9.9%","","(8.2% - 11.9%)","8.2%","11.9%",
"17","Illinois","17153","Pulaski","2023","11.6%","","(10.0% - 13.3%)","10.0%","13.3%",
"17","Illinois","17155","Putnam","2023","7.8%","","(6.3% - 9.6%)","6.3%","9.6%",
"17","Illinois","17157","Randolph","2023","8.9%","","(7.4% - 10.5%)","7.4%","10.5%",
"17","Illinois","17159","Richland","2023","8.9%","","(7.3% - 10.6%)","7.3%","10.6%",
"17","Illinois","17161","Rock Island","2023","8.1%","","(6.8% - 9.7%)","6.8%","9.7%",
"17","Illinois","17165","Saline","2023","9.7%","","(8.1% - 11.6%)","8.1%","11.6%",
"17","Illinois","17167","Sangamon","2023","7.3%","","(5.9% - 8.8%)","5.9%","8.8%",
"17","Illinois","17169","Schuyler","2023","9.8%","","(8.1% - 11.6%)","8.1%","11.6%",
"17","Illinois","17171","Scott","2023","8.6%","","(7.1% - 10.2%)","7.1%","10.2%",
"17","Illinois","17173","Shelby","2023","9.0%","","(7.5% - 10.6%)","7.5%","10.6%",
"17","Illinois","17163","St. Clair","2023","7.2%","","(6.1% - 8.5%)","6.1%","8.5%",
"17","Illinois","17175","Stark","2023","8.8%","","(7.2% - 10.4%)","7.2%","10.4%",
"17","Illinois","17177","Stephenson","2023","9.1%","","(7.5% - 10.9%)","7.5%","10.9%",
"17","Illinois","17179","Tazewell","2023","7.3%","","(6.0% - 8.8%)","6.0%","8.8%",
"17","Illinois","17181","Union","2023","10.1%","","(8.3% - 11.9%)","8.3%","11.9%",
"17","Illinois","17183","Vermilion","2023","9.7%","","(8.2% - 11.3%)","8.2%","11.3%",
"17","Illinois","17185","Wabash","2023","9.4%","","(7.8% - 10.9%)","7.8%","10.9%",
"17","Illinois","17187","Warren","2023","8.2%","","(6.7% - 9.7%)","6.7%","9.7%",
"17","Illinois","17189","Washington","2023","7.8%","","(6.4% - 9.5%)","6.4%","9.5%",
"17","Illinois","17191","Wayne","2023","10.0%","","(8.2% - 12.0%)","8.2%","12.0%",
"17","Illinois","17193","White","2023","11.0%","","(9.1% - 13.1%)","9.1%","13.1%",
"17","Illinois","17195","Whiteside","2023","8.3%","","(6.8% - 10.0%)","6.8%","10.0%",
"17","Illinois","17197","Will","2023","5.6%","","(4.6% - 6.6%)","4.6%","6.6%",
"17","Illinois","17199","Williamson","2023","8.2%","","(6.6% - 9.8%)","6.6%","9.8%",
"17","Illinois","17201","Winnebago","2023","8.3%","","(6.9% - 10.0%)","6.9%","10.0%",
"17","Illinois","17203","Woodford","2023","6.8%","","(5.5% - 8.3%)","5.5%","8.3%",
