CountyFIPS,County,Cancer Type,Incidence
17049,Effingham,breast_cancer,32.0
17051,Fayette,breast_cancer,19.0
17053,Ford,breast_cancer,13.0
17055,Franklin,breast_cancer,37.0
17057,Fulton,breast_cancer,36.0
17059,Gallatin,breast_cancer,5.0
17061,Greene,breast_cancer,13.0
17063,Grundy,breast_cancer,44.0
17065,Hamilton,breast_cancer,6.0
17067,Hancock,breast_cancer,14.0
17069,Hardin,breast_cancer,
17071,Henderson,breast_cancer,5.0
17073,Henry,breast_cancer,41.0
17075,Iroquois,breast_cancer,25.0
17077,Jackson,breast_cancer,41.0
17079,Jasper,breast_cancer,9.0
17081,Jefferson,breast_cancer,28.0
17083,Jersey,breast_cancer,20.0
17085,Jo Daviess,breast_cancer,24.0
17087,Johnson,breast_cancer,11.0
17089,Kane,breast_cancer,396.0
17091,Kankakee,breast_cancer,106.0
17093,Kendall,breast_cancer,94.0
17095,Knox,breast_cancer,49.0
17097,Lake,breast_cancer,577.0
17099,La Salle,breast_cancer,95.0
17101,Lawrence,breast_cancer,14.0
17103,Lee,breast_cancer,28.0
17105,Livingston,breast_cancer,35.0
17107,Logan,breast_cancer,24.0
17109,McDonough,breast_cancer,22.0
17111,McHenry,breast_cancer,275.0
17113,McLean,breast_cancer,115.0
17115,Macon,breast_cancer,90.0
17117,Macoupin,breast_cancer,45.0
17119,Madison,breast_cancer,234.0
17121,Marion,breast_cancer,32.0
17123,Marshall,breast_cancer,11.0
17125,Mason,breast_cancer,11.0
17127,Massac,breast_cancer,10.0
17129,Menard,breast_cancer,13.0
17131,Mercer,breast_cancer,13.0
17133,Monroe,breast_cancer,35.0
17135,Montgomery,breast_cancer,22.0
17137,Morgan,breast_cancer,38.0
17139,Moultrie,breast_cancer,12.0
17141,Ogle,breast_cancer,43.0
17143,Peoria,breast_cancer,161.0
17145,Perry,breast_cancer,16.0
17147,Piatt,breast_cancer,14.0
17149,Pike,breast_cancer,14.0
17151,Pope,breast_cancer,
17153,Pulaski,breast_cancer,6.0
17155,Putnam,breast_cancer,5.0
17157,Randolph,breast_cancer,27.0
17159,Richland,breast_cancer,13.0
17161,Rock Island,breast_cancer,115.0
17163,St. Clair,breast_cancer,216.0
17165,Saline,breast_cancer,20.0
17167,Sangamon,breast_cancer,197.0
17169,Schuyler,breast_cancer,5.0
17171,Scott,breast_cancer,6.0
17173,Shelby,breast_cancer,21.0
17175,Stark,breast_cancer,4.0
17177,Stephenson,breast_cancer,40.0
17179,Tazewell,breast_cancer,132.0
17181,Union,breast_cancer,18.0
17183,Vermilion,breast_cancer,61.0
17185,Wabash,breast_cancer,10.0
17187,Warren,breast_cancer,14.0
17189,Washington,breast_cancer,12.0
17191,Wayne,breast_cancer,17.0
17193,White,breast_cancer,12.0
17195,Whiteside,breast_cancer,47.0
17197,Will,breast_cancer,550.0
17199,Williamson,breast_cancer,52.0
17201,Winnebago,breast_cancer,232.0
17203,Woodford,breast_cancer,40.0
17001,Adams,colorectal_cancer,36.0
17003,Alexander,colorectal_cancer,5.0
17005,Bond,colorectal_cancer,11.0
17007,Boone,colorectal_cancer,22.0
17009,Brown,colorectal_cancer,
17011,Bureau,colorectal_cancer,22.0
17013,Calhoun,colorectal_cancer,5.0
17015,Carroll,colorectal_cancer,9.0
17017,Cass,colorectal_cancer,8.0
17019,Champaign,colorectal_cancer,67.0
17021,Christian,colorectal_cancer,24.0
17023,Clark,colorectal_cancer,9.0
17025,Clay,colorectal_cancer,11.0
17027,Clinton,colorectal_cancer,19.0
17029,Coles,colorectal_cancer,29.0
17031,Cook,colorectal_cancer,
17033,Crawford,colorectal_cancer,13.0
17035,Cumberland,colorectal_cancer,9.0
17037,DeKalb,colorectal_cancer,46.0
17039,De Witt,colorectal_cancer,10.0
17041,Douglas,colorectal_cancer,10.0
17043,DuPage,colorectal_cancer,399.0
17045,Edgar,colorectal_cancer,12.0
17047,Edwards,colorectal_cancer,4.0
17049,Effingham,colorectal_cancer,22.0
17051,Fayette,colorectal_cancer,13.0
17053,Ford,colorectal_cancer,8.0
17055,Franklin,colorectal_cancer,26.0
17057,Fulton,colorectal_cancer,27.0
17059,Gallatin,colorectal_cancer,
17061,Greene,colorectal_cancer,7.0
17063,Grundy,colorectal_cancer,27.0
17065,Hamilton,colorectal_cancer,5.0
17067,Hancock,colorectal_cancer,12.0
17069,Hardin,colorectal_cancer,4.0
17071,Henderson,colorectal_cancer,
17073,Henry,colorectal_cancer,27.0
17075,Iroquois,colorectal_cancer,21.0
17077,Jackson,colorectal_cancer,27.0
17079,Jasper,colorectal_cancer,6.0
17081,Jefferson,colorectal_cancer,25.0
17083,Jersey,colorectal_cancer,13.0
17085,Jo Daviess,colorectal_cancer,12.0
17087,Johnson,colorectal_cancer,8.0
17089,Kane,colorectal_cancer,200.0
17091,Kankakee,colorectal_cancer,51.0
17093,Kendall,colorectal_cancer,42.0
17095,Knox,colorectal_cancer,31.0
17097,Lake,colorectal_cancer,283.0
17099,La Salle,colorectal_cancer,68.0
17101,Lawrence,colorectal_cancer,8.0
17103,Lee,colorectal_cancer,19.0
17105,Livingston,colorectal_cancer,26.0
17107,Logan,colorectal_cancer,20.0
17109,McDonough,colorectal_cancer,17.0
17111,McHenry,colorectal_cancer,138.0
17113,McLean,colorectal_cancer,64.0
17115,Macon,colorectal_cancer,74.0
17117,Macoupin,colorectal_cancer,29.0
17119,Madison,colorectal_cancer,142.0
17121,Marion,colorectal_cancer,29.0
17123,Marshall,colorectal_cancer,9.0
17125,Mason,colorectal_cancer,11.0
17127,Massac,colorectal_cancer,8.0
17129,Menard,colorectal_cancer,9.0
17131,Mercer,colorectal_cancer,12.0
17133,Monroe,colorectal_cancer,11.0
17135,Montgomery,colorectal_cancer,20.0
17137,Morgan,colorectal_cancer,27.0
17139,Moultrie,colorectal_cancer,11.0
17141,Ogle,colorectal_cancer,29.0
17143,Peoria,colorectal_cancer,99.0
17145,Perry,colorectal_cancer,16.0
17147,Piatt,colorectal_cancer,10.0
17149,Pike,colorectal_cancer,10.0
17151,Pope,colorectal_cancer,
17153,Pulaski,colorectal_cancer,
17155,Putnam,colorectal_cancer,
17157,Randolph,colorectal_cancer,23.0
17159,Richland,colorectal_cancer,12.0
17161,Rock Island,colorectal_cancer,62.0
17163,St. Clair,colorectal_cancer,118.0
17165,Saline,colorectal_cancer,17.0
17167,Sangamon,colorectal_cancer,113.0
17169,Schuyler,colorectal_cancer,5.0
17171,Scott,colorectal_cancer,4.0
17173,Shelby,colorectal_cancer,18.0
17175,Stark,colorectal_cancer,4.0
17177,Stephenson,colorectal_cancer,25.0
17179,Tazewell,colorectal_cancer,80.0
17181,Union,colorectal_cancer,11.0
17183,Vermilion,colorectal_cancer,49.0
17185,Wabash,colorectal_cancer,9.0
17187,Warren,colorectal_cancer,12.0
17189,Washington,colorectal_cancer,9.0
17191,Wayne,colorectal_cancer,9.0
17193,White,colorectal_cancer,7.0
17195,Whiteside,colorectal_cancer,29.0
17197,Will,colorectal_cancer,289.0
17199,Williamson,colorectal_cancer,43.0
17201,Winnebago,colorectal_cancer,130.0
17203,Woodford,colorectal_cancer,20.0
17001,Adams,kidney_cancer,14.0
17003,Alexander,kidney_cancer,
17005,Bond,kidney_cancer,4.0
17007,Boone,kidney_cancer,11.0
17009,Brown,kidney_cancer,
17011,Bureau,kidney_cancer,11.0
17013,Calhoun,kidney_cancer,
17015,Carroll,kidney_cancer,4.0
17017,Cass,kidney_cancer,4.0
17019,Champaign,kidney_cancer,30.0
17021,Christian,kidney_cancer,13.0
17023,Clark,kidney_cancer,6.0
17025,Clay,kidney_cancer,6.0
17027,Clinton,kidney_cancer,12.0
17029,Coles,kidney_cancer,14.0
17031,Cook,kidney_cancer,939.0
17033,Crawford,kidney_cancer,6.0
17035,Cumberland,kidney_cancer,
17037,DeKalb,kidney_cancer,21.0
17039,De Witt,kidney_cancer,
17041,Douglas,kidney_cancer,5.0
17043,DuPage,kidney_cancer,177.0
17045,Edgar,kidney_cancer,5.0
17047,Edwards,kidney_cancer,
17049,Effingham,kidney_cancer,8.0
17051,Fayette,kidney_cancer,7.0
17053,Ford,kidney_cancer,4.0
17055,Franklin,kidney_cancer,14.0
17057,Fulton,kidney_cancer,10.0
17059,Gallatin,kidney_cancer,
17061,Greene,kidney_cancer,5.0
17063,Grundy,kidney_cancer,13.0
17065,Hamilton,kidney_cancer,
17067,Hancock,kidney_cancer,6.0
17069,Hardin,kidney_cancer,
17071,Henderson,kidney_cancer,
17073,Henry,kidney_cancer,14.0
17075,Iroquois,kidney_cancer,11.0
17077,Jackson,kidney_cancer,13.0
17079,Jasper,kidney_cancer,
17081,Jefferson,kidney_cancer,10.0
17083,Jersey,kidney_cancer,6.0
17085,Jo Daviess,kidney_cancer,6.0
17087,Johnson,kidney_cancer,
17089,Kane,kidney_cancer,97.0
17091,Kankakee,kidney_cancer,28.0
17093,Kendall,kidney_cancer,20.0
17095,Knox,kidney_cancer,15.0
